Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature
juansguarnizo,849083325,123780,45631,6039,1204773,946280,12708431,True,False
Rakin,842581305,144510,51854,5333,1258173,517248,24523589,True,False
SolaryHS,827452485,460065,17513,1802,149073,35986,10445269,True,False
Cellbit,817373955,103095,68813,8264,1293451,547018,18105470,True,False
dota2ti_ru,812538090,6195,457060,126232,541644,108438,12068376,True,False
uzra,812362125,208785,14181,3683,185506,29752,20715640,True,False
OverwatchLeague,805163370,24480,254493,33132,1796619,83198,27099682,True,False
Thijs,794621265,108720,24923,7180,755116,68557,15548337,True,False
Swagg,790021440,108375,74199,6309,784966,723082,7527027,True,False
TeePee,789698115,170010,78741,4410,520519,238257,17102146,True,True
LVNDMARK,788421150,199350,96236,3688,248829,244295,8815201,True,False
Agraelus,779867430,169515,23555,4642,414951,132125,20334558,True,True
BLASTPremier,753808200,25260,113167,24689,501371,315910,21104122,True,False
cloakzy,748023225,101670,40497,6743,2138294,558107,14533643,True,False
aceu,744620970,118125,26141,6328,859439,763489,15894732,True,True
蝦愛橘子 (shuteye_orange),728551080,325935,7441,2217,85247,29549,18572922,True,True
Elraenn,726379485,51150,65543,13224,1223076,672978,20881140,True,False
Elajjaz,726000045,145755,13080,4922,346566,37883,12800182,True,False
CDNThe3rd,722562675,134280,55752,4919,2009972,167704,15136396,True,False
POW3Rtv,721548885,177885,69009,3836,1080764,495072,23271722,True,False
IzakOOO,717096330,129165,43050,4463,1461767,286467,23586902,True,False
DreadzTV,715644660,109725,35865,6249,675908,57448,32228705,True,True
따효니 (ddahyoni),711864630,152445,17253,4534,322895,46946,15586820,True,False
WePlayEsport_EN,704823000,107745,87751,6127,175061,137229,17857171,True,False
ElmiilloR,686456910,126105,45726,5163,426716,189847,20714971,True,False
Squeezie,667977780,29775,158972,19260,2149306,875678,21128175,True,False
allkeyshop_tv,663185955,487005,6075,1361,67472,26937,55639770,True,False
Domingo,662502810,65610,102022,11423,829700,276400,23040428,True,False
PlayHearthstone,661075170,41175,43877,13154,825727,39065,28719610,True,False
ESL_DOTA2,661049190,212010,99858,4714,337177,91323,14784068,True,False
Kitboga,656365305,80760,20913,7394,772055,331906,8392545,True,False
DansGaming,653181210,187530,33646,3270,817365,29415,13757678,True,False
老皮 (mobilmobil),652685055,126120,16497,5303,446426,34362,20520762,True,True
Destiny,650910525,162690,24101,3894,571183,115692,8579344,True,True
우왁굳 (woowakgood),650364705,158850,14177,4100,591500,207575,18626351,True,False
RATIRL,649761570,145050,14480,4420,423002,249048,14109245,True,True
bratishkinoff,646333065,60795,56790,10626,1128907,389268,25254350,True,False
Yogscast,644580630,443130,54885,1384,961860,127684,20999649,True,False
앰비션_ (lol_ambition),639445965,113415,57254,5332,362297,108498,17248420,True,False
jukes,628079220,76605,24263,8165,1327059,353576,19915875,True,False
木棉花官方頻道 (muse_tw),625892895,446655,16702,1397,121053,120954,13670649,True,True
Shlorox,625142130,115650,13945,5216,331632,77979,13181386,True,False
coscu,622424175,77160,80444,8919,1865296,1061265,19438119,True,False
dogdog,622199835,103335,24727,5856,594239,50345,12089717,True,False
chocoTaco,620395515,160830,30514,3846,1134153,250201,17922897,True,False
Locklear,619247415,108450,50103,5512,824676,469017,17854413,True,False
餐餐自由配 (blusewilly_retry),618755280,100515,17585,5941,374480,42764,18366224,True,False
Amouranth,618067800,235170,13495,2560,1707804,532750,48015117,True,False
UberHaxorNova,615472275,181950,7808,3247,421256,65267,7518457,True,False
Sfory,612617325,73590,75219,3197,457502,450299,12391816,True,False
Giantwaffle,612594165,165525,36340,3429,878934,15334,10831070,True,False
ZanoXVII,610609920,95730,30648,6073,514866,322929,6034891,True,False
침착맨 (zilioner),601906185,97545,43164,5843,465887,121506,18265409,True,False
SkipNhOLIVE,600910875,498765,7940,1196,324765,271487,6544645,True,False
Kamet0,600882645,130620,70983,4560,565661,221911,14071951,True,False
MYM_ALKAPONE,599850495,97830,26221,5948,770535,153803,7831334,True,False
김진우 (jinu6734),597275955,121545,12810,4710,274875,90213,9977487,True,False
imaqtpie,596368095,167190,26087,3478,2652018,50312,13182700,True,False
x2Twins,595707975,125745,31874,4167,1288969,1035561,15264996,True,False
C_a_k_e,588662010,129660,17317,4403,302633,45957,18161823,True,False
SmiteGame,586925850,344055,33245,1588,535211,73678,8305604,True,False
RatedEpicz,582401145,175920,11860,3336,134757,74221,7251200,True,True
wtcN,582125625,77385,73861,7438,1852272,566210,25333548,True,True
Anton,581034300,142890,137531,3199,207484,128050,6176254,True,True
benjyfishy,580787955,34350,75491,14423,1739112,1455278,20411553,True,False
StarLadder5,580541850,41715,189859,13089,1029203,104382,21525216,True,False
Reborn_Live,578122875,32100,57849,17488,697007,682512,9965787,True,True
CasinoDaddy,577240710,267465,6524,2168,151098,42680,7493491,False,True
H2P_Gucio,575998575,157995,10011,3581,220488,78264,13401489,True,False
Xayoo_,575138175,91260,23935,6091,572789,215098,12984472,True,False
Jinnytty,569601090,151815,15190,3607,372334,213291,15165872,True,False
KendineMuzisyen,567374295,58545,43422,9583,1372290,486410,17629667,True,True
Jahrein,566176425,61890,43683,8929,1422862,247212,18410268,True,False
Mathil1,561997440,134715,25866,3953,293595,66982,13159849,True,False
Greekgodx,561616335,89745,45741,7083,1278824,403108,12441822,True,True
Brunenger,559915035,183225,64308,2844,659652,649562,12736000,True,False
ClassyBeef,558883590,273660,33624,1941,108623,88671,6626543,False,True
Diegosaurs,558587535,128580,32463,4150,521201,270255,9851921,True,True
BobRoss,558170835,238035,11659,2175,1519266,216326,7491995,True,False
Nick28T,556741020,183660,15155,3024,977377,78054,6777975,True,True
녹두로 (nokduro),555637890,140670,15858,4040,165823,95603,9518923,True,False
GMHikaru,554249955,68355,46106,7155,505361,425023,20086431,True,False
SkipNhO,553663800,131580,23408,3875,1076499,281967,13901197,True,False
jovirone,553283745,96450,29272,5632,1089830,300545,17980307,True,False
Chap,550951215,157545,22571,3430,1272899,273926,13683195,True,False
김도 (kimdoe),549244755,134985,11759,4062,287639,10062,14188002,True,True
RebirthzTV,548041425,118920,14578,4629,276694,76546,8434367,True,False
Klean,545108145,169605,101124,2801,276242,154466,7844435,True,False
接接 (godjj),544706325,126705,12461,4378,331744,19325,20264128,True,False
Gladd,543954570,171195,54477,2779,337972,157424,9290817,True,False
CSRuHub,540556545,110880,106003,5044,511431,121099,23271913,True,False
CriticalRole,539495145,21300,110800,17689,571210,237069,7827030,True,False
Vinesauce,536989080,86790,19065,6125,442493,80616,5560969,True,True
울프 (lol_woolf),532969650,50910,73800,9633,308528,141297,9294132,True,False
Mithrain,530456265,105540,40183,4990,1258713,371005,24222810,True,False
EWROON,526660590,101235,21341,5172,514693,232079,13289271,True,False
ludwig,525883695,94575,60346,5368,542580,505089,8508355,True,False
RduLIVE,525737445,127380,11854,3953,234884,62490,7653194,True,False
Hiko,523057245,79665,41644,5268,1001350,479830,11106951,True,False
FENGRUSH,521568750,100605,16128,4985,95643,23288,44675247,True,False
Chess,521511525,96315,83666,5767,326118,181232,84500786,True,False
72hrs,519458565,136515,30702,3756,1024814,315190,12051692,True,False
TwitchRivals,516113670,36555,109148,14509,999480,644684,71159574,True,False
