Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature
AnthonyZ,154524165,117735,7416,1216,199617,23303,2812219,True,False
mokrivskyi,154332060,27105,29983,5864,308815,304008,8255635,False,False
CaMaK,154277370,87375,9437,1759,151886,7578,3019137,True,True
Uthenera,154125945,77475,9460,2106,411346,99872,4832180,True,False
Corobizar,153988380,83325,11200,1787,272635,84933,4345590,True,False
roflgator,153963765,110910,14329,1281,106365,46487,1449834,True,True
QuarterJade,153857655,61980,12144,2286,277256,167202,3921702,True,False
kutcherlol,153784695,138060,6802,1093,198818,36059,5070320,True,False
DieHahn,152767545,125025,8048,1229,231584,44782,3418935,True,True
chowh1,152754465,143415,8221,980,113551,84231,4175567,True,True
cacho01,152494320,54645,18552,2669,269080,250197,2516244,True,False
natalan,152469705,60510,9561,2240,529357,462674,2737155,True,True
DreamHackDota2_RU,152461155,6135,98717,22356,203419,30231,3637232,True,False
DuendePablo,152343585,133290,10121,1101,514073,118567,4216188,True,False
小夜夜 (albislol),152033250,208485,3740,706,146276,10939,4554443,True,True
UCCleague,152021685,131070,14003,1378,226974,46807,9915656,True,False
貝克 (slrabbit99),151739370,112845,5944,1329,106235,2495,4838617,True,True
Stewie2K,151271895,24735,27416,5296,875087,289867,5771575,True,True
jorbs,151128345,117795,4084,1243,70609,20603,1410877,True,False
BlackFIreIce,150698280,139980,3044,1070,108895,6130,4424196,True,False
kurt0411,150579045,37710,26941,4083,142446,114789,2221662,True,False
Herdyn,150266550,123060,4254,1180,410224,91098,5639711,True,True
Frankkaster,150181140,30975,49127,4886,826222,356711,5878239,True,True
SayNoToRage,150150330,137820,8014,1010,168463,17619,1552234,True,False
MiltonTPike1,149975130,81960,8838,1845,200012,25768,2185519,True,False
H0llyLP,149766195,130860,4958,1116,151000,11875,3846703,True,True
MarkitoNavaja,149407365,28410,26584,5070,665430,641813,3159593,True,False
RobertoCein,149162865,114120,15249,1270,730326,422842,2907888,True,True
KVYZEE,149052375,161580,8354,849,127963,74894,6715483,True,False
MarketTradersTV,148900110,499215,1357,297,30413,12081,981536,True,False
Flambass,148717500,130395,5507,1138,71953,26918,2319131,True,True
Aa9skillz,148596180,49035,11843,2885,502696,142789,2373012,True,False
Limmy,148371105,90600,6575,1641,207508,136263,2433739,True,True
SparkofPhoenixTV,148192215,92400,15792,1462,433078,195208,3537808,True,False
kyliebitkin,147948870,127485,6688,1142,85336,25720,2468122,True,True
CoconutB,147918285,122565,4596,1171,188378,62459,2691775,True,True
FanHOTS,147664290,134550,2104,1090,64587,27948,2451118,True,False
Pelegrino1993,147243720,129210,6236,1074,80566,64799,1772816,True,False
Killars,146865810,210810,4232,642,46971,15728,1747381,True,False
Weak3n,146770110,115470,2922,1260,188176,30028,4780580,True,False
Tourva,146412075,116070,5067,1185,287553,182413,7888629,True,True
wintergaming,146245920,195615,7019,719,260779,13900,3609065,True,False
Vicens,146199795,26115,30628,5739,730679,724245,4110592,True,False
PainLivestream,145610160,89775,15002,1635,435872,81619,2283772,True,True
monkeys_forever,145475145,80460,6738,1563,79270,34329,2106144,True,False
Kaydop,145291695,64830,23304,2268,193058,117412,3185925,True,False
しゃるる (syaruru3),145193595,103995,3710,1309,33726,9684,3022192,True,False
primeleague,144858945,30510,19013,4427,73409,71211,5606593,True,False
LRojo_,144763395,111435,11178,1192,100767,82320,3959878,True,False
trihex,144608640,121515,21721,1157,431935,29678,5777172,True,True
Spaceboy,144599880,123015,10590,1107,135311,27050,2614773,True,True
Froggen,144496815,46710,10648,3024,770030,31800,3577064,True,False
BotanicX,144361350,71445,9135,1937,34119,11512,9335252,False,False
dinablin,144307800,60870,29316,2413,293748,239896,11129949,True,False
RiceGum,144167385,12300,29173,11696,903261,388376,2273737,True,False
ipav999,144114480,191400,2536,737,163956,82668,2920832,True,False
Lutti,143841150,89220,37121,1153,226344,163441,3727211,True,False
kragiee,143449350,121890,6298,1137,234312,65977,3136101,True,False
Puppers,143414790,98595,6798,1458,171425,64591,1753517,True,False
Crayator,143191365,75165,4911,1796,599828,177501,3865293,True,False
MANvsGAME,142696875,65775,5831,2103,510330,2336,2713787,True,True
TheRealMarzaa,142547775,93015,12525,1505,495558,258153,2909149,True,False
foggedftw2,142444290,111675,8622,1220,242205,109500,3438208,True,True
Linkus7,142322655,121755,7248,1121,96728,41862,1866513,True,False
Arcadum,142213980,134700,13801,992,120586,78642,2169921,True,False
ImMarksman,142168560,77430,11141,1889,633443,152094,1311402,True,False
LightFuryLF,142094850,111315,15139,1169,51589,32663,4989684,True,False
BarcaGamer,141736230,119565,57917,1234,636568,548578,3012949,True,False
EFEUYGAC,141455130,38910,14481,3700,358498,297215,5234400,True,True
Xnapycz,141426165,87885,4388,1572,94551,44450,4521040,True,True
SilentSentry,141219225,125760,5572,1085,301633,13533,1896110,True,False
球球 (lilballzlolz),141185625,78015,6328,1724,118276,9831,4212219,True,False
DaigoTheBeasTV,141183435,57525,27261,2225,173271,42313,4166521,True,False
UncleBjorn,141021495,134805,4265,975,111003,26514,7886426,True,False
AnniTheDuck,140975745,53220,7894,2533,460463,263210,7336341,True,True
StRoGo,140812395,29385,45087,4621,272944,258332,5978117,True,False
재슥짱 (pikra10),140512860,124170,4659,1068,77376,42516,2973636,True,False
貝莉莓 (beryl_lulu),140500785,81990,15901,1739,156726,49522,9765341,True,False
purple_hs,140426535,111810,5460,1149,88792,18850,1512076,True,False
Harmii,140304750,116130,7200,1159,333858,168452,3556031,True,False
Zerkaa,140243025,51000,11192,2571,529504,373720,2530852,True,False
iklooode25,140170155,21360,42463,7265,418710,354335,1443848,True,False
聶寶 (nielnieh345),140168070,186015,5455,728,93991,18742,4755073,True,False
akagreenn,140084580,51600,21136,2902,117916,114861,3514645,True,True
Spraggy,139893270,81585,30415,1674,99807,35453,3037728,True,False
TpaBoMaH,139724325,92445,6813,1531,151266,85717,7804776,True,False
Day9tv,139556325,64500,5597,2140,496790,13344,2495558,True,False
Sologesang,139273200,123390,5120,1072,58531,26062,4569358,True,False
karavay46,139258050,33045,48331,4037,354734,301941,8457221,True,False
RaulZitoYT,139249440,131460,6545,839,78971,76729,2725303,True,False
JonBams,139067415,88830,5577,1522,309837,75728,1940922,True,True
Japan_ASMR,138935670,509670,496,271,67707,32649,1272641,True,False
OuterHeaven,137995935,94575,6955,1101,137954,7924,1037346,True,True
Yamikazexz,137528370,74490,12411,1643,201657,161100,5719244,True,False
aircool,137305080,128055,12620,964,153703,120570,1628826,True,False
Lapi,137258130,171570,8684,789,130323,16992,6792456,True,False
robn_live,137249820,133545,73664,656,66223,63975,1502917,True,False
과로사1 (aram4519),136944300,81570,14167,1592,301329,179604,5711063,True,False
Ezekiel_III,136597425,109890,18804,1190,190452,8969,4018240,True,True
RebeuDeter,135843000,18510,24675,7141,215360,194128,2560454,True,False
nookyyy,135590925,149220,7393,683,206681,78987,2481667,True,False
BrookeAB,135540690,48705,24357,2777,737161,247335,6936235,True,False
innocents,135250410,83790,13654,1557,534759,279080,3488587,True,True
RealKraftyy,135181170,108585,19953,1235,710277,21198,4102026,True,False
rhobalas_lol,135169095,174210,5224,779,100599,69851,3011205,True,False
veloxey,135057600,88620,8596,1273,252913,180142,1874494,True,False
ArQuel,134912310,116415,9110,1122,285920,45153,4895500,True,False
ElOjoNinja,134761230,82020,9339,1484,273504,133594,5226901,True,False
Bamboe,134431230,118920,5956,1075,86644,25348,2322578,True,False
Sonecarox,133976280,239655,2445,569,87530,21318,3105118,True,True
MuTeX,133816530,150015,9448,824,200619,114872,1615269,True,True
RayNarvaezJr,133649520,82605,6611,1589,528396,29068,2180691,True,True
Tanovich,133079115,89865,10352,1434,296560,219383,3677360,True,True
Zalae,133078635,95010,5934,1351,170668,23494,1776974,True,False
KheZu,132976365,124635,5322,991,122158,28840,2671995,True,False
mandiocaa1,132533775,29685,9540,4355,312944,29691,2567198,True,True
스피드소닉 (dragon3652),132487740,243375,2379,529,35503,11620,4618003,True,False
RiotGamesOCE,132387150,40890,50458,3076,149775,65748,8437414,True,False
Videoyun,132320235,123345,8057,1030,375697,85165,8078109,True,False
AlcastHQ,132082785,28905,12999,4680,81928,24582,41833833,True,False
julien,132054690,80895,15150,1685,511861,177756,4880209,True,False
iGeStarK,131957700,79455,12893,1282,244437,231731,2948954,True,False
Ziqoftw,131821710,94515,10569,1293,198304,33547,4933908,True,False
CyrusTWO,131621775,128085,2727,1027,96691,25277,5787660,True,True
칸데르니아 (jmjdoc),131408250,170865,2395,756,30877,9502,4337476,True,False
CouRageJD,131341275,14010,72100,8717,2115596,120434,2874860,False,False
YoMax,131072925,58380,16952,2051,273980,129000,1715466,True,False
JeffHoogland,130973670,113655,3375,1070,68914,7290,1965274,True,False
Call of Duty (callofduty),130938960,3645,170131,19897,968465,50321,5423366,True,True
GoBGG,130398315,92730,4198,1400,229586,37272,5971819,True,False
Wackyjacky101,130390590,130335,5981,1012,209700,72794,9213152,True,False
TaKeTV,130220190,108555,31809,829,227062,13033,2855045,True,False
iceiceice,130179570,37545,8409,3107,183960,57797,2582911,True,False
StarCraft,130159470,14850,56109,6636,342409,22130,4110003,True,False
MadDecentLive,129993915,42510,36968,3069,95371,95352,44291541,False,False
WillerZ,129956310,133770,24663,872,79392,68899,2344895,True,True
SoyPan,129903855,132840,13884,954,343191,162018,2167760,True,False
murilo_RT,129898080,383955,8185,315,70814,55939,3070308,True,True
Multiplayerit,129567630,111795,15237,1053,58786,17650,30889814,True,False
Markstrom,129129615,106620,71423,915,93045,35277,1829062,True,False
Krayn_Live,129103425,137040,4183,918,125775,20572,4621526,True,True
西門夜說 (westdoor),128928105,109065,5363,1165,272662,16908,5018006,True,True
Sintica,128908575,94845,8467,1207,160387,110955,7008648,True,False
FantaBobShow,128845890,65565,8248,1936,348598,86339,3598696,True,True
ops1x,128783415,68235,23490,1457,268942,254190,3050489,True,False
wingz,128746905,92715,3940,1347,85695,32924,3057045,True,False
ZLOYn,128586435,49230,14155,2603,294277,284221,6731111,True,False
HunterGodBr,128369655,89520,51612,1737,258876,254260,14078099,True,False
leplol1,128314530,125385,9307,1444,157981,116243,3163399,False,False
sacy,128171445,96630,10692,1304,206184,117190,3590048,True,False
헤징 (hejin0_0),127710465,125865,3032,1017,123451,72192,5800110,True,False
Naru,127650015,39825,13744,3045,344859,123779,5321664,True,False
Warcraft,127646610,10005,51972,13741,593564,31688,6635421,True,False
FlexZ,127550640,114750,14278,897,155382,133959,3254805,True,False
DizzyKitten,127398990,80100,10080,1584,613135,54653,8960383,True,False
지수소녀 (wltn4765),127291245,134070,9379,980,99600,68129,6213041,True,False
Staryuuki,127219620,77040,5530,1467,586475,530306,5418113,True,False
CeMka,127117680,110550,18473,979,86502,22116,4241970,True,False
Halifax,126885855,160500,12478,793,228316,52433,2955093,True,False
Bidule,126808620,61395,10100,2052,82570,64920,2486535,False,True
Gabi,126779310,63480,17866,2174,271202,178648,3821231,True,False
Hype,126704460,81510,10030,1674,145476,101271,6185689,True,True
Gigz,126436725,98685,15061,1136,254401,44075,1958787,True,False
매직박 (yagubu),126240810,66165,25478,1666,59697,53490,3379601,True,False
richwcampbell,126132675,69870,34756,1878,108410,57422,3790423,True,False
ESL_CSGO_FR,126026325,53295,22857,2570,193614,26073,4124889,True,False
양아지 (dkwl025),125872350,103365,6861,1237,220819,114560,4933531,True,False
Cizzorz,125812350,56970,11782,1891,1866339,222573,3095942,True,False
RyuQuezacotl,125680845,125820,4022,976,79063,9884,1867494,True,True
Sigma,125477415,94695,81683,798,61206,54151,1334161,True,True
Robbaz,125249820,86415,4938,1427,229652,23827,5009610,True,False
mailand,124936395,86865,6867,1400,86561,31605,3923343,True,True
Buozzi,124926540,142785,4036,872,75290,39547,5126434,True,True
HeyarTV,124878165,155700,2343,786,124479,17695,2506556,True,True
LenaGol0vach,124876665,30210,9115,4159,274237,40915,2969471,False,False
Sinner666,124812240,24765,27996,4530,7102,7101,21322548,False,False
TommyKayLIVE,124680810,108105,3536,1124,127770,58673,2561302,True,True
TMemoryy,124620795,130440,3244,924,171107,64750,1027960,True,False
Patriota,124595820,64305,29435,1951,646758,344213,3707623,True,False
러너교 (runner0608),124525605,52785,17926,2434,164902,58988,4276695,False,False
zorlaKOKA,124241010,100050,4977,1247,361102,83418,7654224,True,False
Hitch,124224555,132870,3976,875,96343,30813,1942552,True,True
calango,124180125,70155,8380,1736,767187,293608,3292645,True,False
Adin2Huncho,124133550,64920,14502,1470,199880,162642,956614,True,False
SlotRoom247,124078200,373800,20609,326,69183,69113,1338301,False,True
ALLinPav,124058985,137760,6221,850,71579,21360,3156265,True,True
Surefour,124056555,53145,7911,2289,331662,46991,2066041,True,True
NumotTheNummy,123899265,105930,3359,1118,103069,8045,1530401,True,False
aminematue,123826230,30480,16577,4016,124232,123363,2316908,True,False
CallMeCarsonLIVE,123486240,14340,61531,8208,1151712,732108,3533199,True,True
ZiggyDLive,123398085,99075,18437,1227,173807,15899,4249580,True,False
KEEMSTAR,123365895,3465,74195,35333,146035,46367,7139253,False,False
크캣66 (crazzyccat),123279435,192780,2543,644,35930,24849,1889696,True,False
RelaxBeats,123273930,521430,2830,235,166162,29595,1094850,True,False
LAGTVMaximusBlack,123125340,161535,7138,725,256353,13251,2310313,True,True
Destructoid,122628630,103020,14566,1190,48007,8995,87603521,True,False
LITkillah,122524635,13560,21359,9104,601927,562691,2162107,True,False
빅헤드 (bighead033),122523705,153000,3940,793,213212,52289,4399897,True,False
마스카 (newmasca),122452320,217410,6431,567,109068,-4942,3417970,True,False
AndyMilonakis,122311065,104745,10543,1153,547446,109111,3926918,True,False
Remx,122192850,99180,13788,1205,178553,59432,2049420,True,False
